英文,中文
0_0,0 0
1boy,1个男孩
1girl,1的女孩
1koma,1黄家驹
1other,其他1
2boys,2个男孩
2girls,2个女孩
2koma,2黄家驹
2others,2别人
3:,3：
3boys,3个男孩
3d,3 d
3girls,3个女孩
3koma,3黄家驹
3others,3人
4boys,4个男孩
4girls,4个女孩
4koma,4黄家驹
5boys,5个男孩
5girls,5个女孩
5koma,5黄家驹
6+boys,6 +男孩
6+girls,6 +女孩
6+others,6 +其他
39,39
69,69
1970s_(style),1970年代(风格)
1980s_(style),1980年代(风格)
1990s_(style),1990年代(风格)
2006,2006
2007,2007
2008,2008
2009,2009
2010,2010
2011,2011
2012,2012
2013,2013
2014,2014
2015,2015
2016,2016
2017,2017
2018,2018
2019,2019
2020,2020
2021,2021
!,！
!!,！!
!?,！?
(9),（9)
(o)_(o),(o) (o)
+++,+++
+_+,+ +
...,…
._.,。。
:3,：3
:/,：/
:<,: <
:>,: >
:>=,: > =
:d,: d
:i,:我
:o,:阿
:p,: p
:q,:问
:t,t:
:x,: x
:|,: |
;3,；3
;(,；（
;),；）
;d,；d
;o,；o
;p,；p
;q,；问
<o>_<o>,< o > < o >
=3,= 3
=_=,= =
=d,= d
>:(,>:(
>:),>:)
>_<,> <
>_o,>阿
>o<,啊> <
?,？
??,?？
@_@,@ @
\m/,\米/
\n/,\ n /
\o/,\ o /
\||/,\ | | /
^^^,^ ^ ^
^_^,^ ^
^o^,阿^ ^
a,一个
above_clouds,以上云
abs,腹肌
absolutely_everyone,绝对每个人
abstract,摘要
abstract_background,抽象的背景
absurdly_long_hair,荒唐的长发
abuse,滥用
abyssal_ship,深海船
accidental_exposure,意外接触
acorn,橡子
acoustic_guitar,木吉他
acrylic_paint_(medium),丙烯酸漆（中）
action,行动
ad,广告
adapted_costume,适应服装
adapted_turret,适应炮塔
adapted_uniform,适应统一
adidas,阿迪达斯
adjusting_clothes,调整衣服
adjusting_eyewear,调整眼镜
adjusting_gloves,调整手套
adjusting_hair,调整头发
adjusting_headwear,调整头饰
adjusting_legwear,调整legwear
adjusting_panties,调整内裤
adjusting_swimsuit,调整泳衣
aerial_fireworks,空中烟火
aestus_estus,aestus estus
afloat,漂浮
afro,非洲式发型
after_anal,后肛门
after_ejaculation,射精后
after_fellatio,在口交
after_kiss,吻后
after_paizuri,paizuri后
after_rape,强奸后
after_sex,性交后
after_vaginal,后阴道
afterglow,余辉
afterimage,后像
afterword,后记
against_glass,对玻璃
against_tree,对树
against_wall,对墙
age_comparison,年龄比较
age_difference,年龄差距
age_progression,时代发展
age_regression,年龄回归
ahegao,ahegao
ahoge,ahoge
ai_ai_gasa,啊啊啊啊啊啊啊啊
aiguillette,肩带
aiming,的目标
aiming_at_viewer,瞄准观众
ainu,阿伊努人
ainu_clothes,阿伊努人的衣服
air_bubble,气泡
air_conditioner,空调
aircraft,飞机
airplane,飞机
airship,飞艇
ajirogasa,ajirogasa
ak-47,ak - 47
akanbe,akanbe
akatsuki_(naruto),akatsuki(火影忍者)
akeome,akeome
alarm_clock,闹钟
albino,白化
album_cover,专辑封面
alcohol,酒精
alice_(alice_in_wonderland)_(cosplay),爱丽丝（爱丽丝梦游仙境）（cosplay）
alien,外星人
all_fours,四足爬行
alley,小巷
alpaca_ears,羊驼耳朵
alpha_signature,α签名
alphes_(style),alphes(风格)
alternate_breast_size,交替胸围
alternate_color,交替的颜色
alternate_costume,备用服装
alternate_eye_color,交替眼睛颜色
alternate_form,复本
alternate_hair_color,交替发色
alternate_hair_length,交替发长
alternate_hairstyle,备用的发型
alternate_headwear,交替头饰
alternate_legwear,交替legwear
alternate_pectoral_size,交替胸围
alternate_skin_color,交替的肤色
alternate_universe,替代宇宙
alternate_weapon,备用武器
alternate_wings,备用的翅膀
ambiguous_gender,模糊的性别
america,美国
american_flag,美国国旗
american_flag_bikini,美国国旗比基尼
american_flag_dress,美国国旗裙
american_flag_legwear,美国国旗绑腿
american_flag_print,美国国旗印花
amestris_military_uniform,美国军装
ammunition,弹药
ammunition_belt,弹药带
ammunition_pouch,弹药袋
amplifier_(instrument),放大器(仪器)
amputee,被截肢者
amulet,护身符
anal,分析的
anal_beads,肛珠
anal_fingering,肛门指法
anal_hair,肛门的头发
anal_object_insertion,肛门插入物
anal_tail,肛门的尾巴
analog_clock,模拟时钟
anchor,锚
anchor_choker,锚项链
anchor_hair_ornament,锚发饰
anchor_necklace,锚的项链
anchor_print,锚打印
anchor_symbol,锚的象征
androgynous,雌雄同体的
android,安卓
angel,天使
angel_and_devil,天使与魔鬼
angel_wings,天使的翅膀
anger_vein,愤怒的静脉
anglerfish,琵琶鱼
angora_rabbit,安哥拉兔
angry,愤怒的
anilingus,吻肛
animal,动物
animal_bag,动物袋
animal_collar,动物领
animal_costume,动物的服装
animal_ear_fluff,动物耳毛
animal_ear_legwear,动物耳式护腿
animal_ears,动物的耳朵
animal_focus,动物的关注
animal_hands,动物的手
animal_hat,动物帽子
animal_hood,动物帽
animal_hug,动物拥抱
animal_nose,动物的鼻子
animal_on_arm,手臂上的动物
animal_on_head,头上的动物
animal_on_lap,膝上的动物
animal_on_shoulder,肩上的动物
animal_print,动物图案
animal_skull,动物的头骨
animal_slippers,动物的拖鞋
animalization,动物化
anime_coloring,动漫着色
animification,animification
ankh,t形十字章
ankle_boots,短靴
ankle_cuffs,脚踝袖口
ankle_grab,脚踝抓住
ankle_lace-up,脚踝系带
ankle_ribbon,脚踝带
ankle_socks,短袜
ankle_strap,脚踝皮带
ankle_wrap,脚踝包裹
anklet,短袜
anniversary,周年纪念日
announcement_celebration,宣布庆祝
annoyed,生气
antenna_hair,天线的头发
antennae,天线
anti-materiel_rifle,反物资步枪
antique_firearm,古董枪
antlers,鹿角
anus,肛门
anus_peek,肛门偷看
anzio_military_uniform,安齐奥军装
anzio_school_uniform,安齐奥校服
apple,苹果
applying_makeup,化妆
april_fools,四月愚人节
apron,围裙
apron_lift,围裙电梯
aqua_background,浅绿色背景
aqua_bikini,aqua比基尼
aqua_bow,aqua弓
aqua_bowtie,aqua领结
aqua_bra,aqua胸罩
aqua_dress,浅绿色的裙子
aqua_eyes,浅绿色的眼睛
aqua_footwear,水鞋
aqua_gloves,aqua手套
aqua_hair,水的头发
aqua_headwear,aqua头饰
aqua_jacket,aqua夹克
aqua_legwear,aqua legwear
aqua_nails,aqua指甲
aqua_neckerchief,aqua围巾
aqua_necktie,aqua领带
aqua_panties,aqua内裤
aqua_ribbon,aqua丝带
aqua_shirt,浅绿色衬衫
aqua_skirt,浅绿色的裙子
aqua_theme,aqua主题
aquarium,水族馆
ar-15,ar - 15
arabian_clothes,阿拉伯的衣服
arachne,阿拉喀涅
araki_hirohiko_(style),荒木广彦（风格）
aran_sweater,阿然的毛衣
arch,拱
arched_back,拱背
archery,射箭
architecture,体系结构
areola_slip,乳晕滑
areolae,细隙
argyle,菱形花纹
argyle_background,菱形花纹背景
argyle_legwear,argyle legwear
aria_company_uniform,艾瑞亚公司制服
arm_above_head,手臂举过头顶
arm_around_neck,挽着脖子
arm_around_shoulder,挽着肩膀
arm_around_waist,挽腰
arm_at_side,手臂放在一边
arm_behind_back,手放在背后
arm_behind_head,手放在脑后
arm_belt,臂带
arm_between_breasts,手臂夹在两乳之间
arm_blade,手臂叶片
arm_cannon,臂炮
arm_cuffs,手臂袖口
arm_garter,臂吊袜
arm_grab,手臂抓
arm_guards,手臂警卫
arm_hair,手臂的头发
arm_held_back,挽起手臂
arm_hug,手臂拥抱
arm_rest,扶手
arm_ribbon,臂带
arm_strap,臂带
arm_support,手臂的支持
arm_tattoo,手臂的纹身
arm_under_breasts,乳房下的手臂
arm_up,手臂上
arm_warmers,长手套
arm_wrap,手臂包
armband,臂章
armchair,扶手椅
armlet,臂章
armor,护甲
armored_boots,装甲的靴子
armored_dress,铠装衣服
armpit_crease,腋窝折痕
armpit_cutout,腋窝断路
armpit_hair,腋毛
armpit_peek,腋窝偷看
armpit_sex,腋窝性
armpits,腋窝
arms_around_neck,双臂环绕脖子
arms_around_waist,双臂环绕腰
arms_at_sides,手臂放在两侧
arms_behind_back,手放在背后
arms_behind_head,手臂放在脑后
arms_between_legs,双臂夹在双腿之间
arms_under_breasts,乳房下的手臂
arms_up,武器了
army,军队
arrancar,arrancar
arrow_(projectile),箭头(弹)
arrow_(symbol),箭头(符号)
arrow_through_heart,箭穿心
art_brush,艺术刷
art_nouveau,新艺术派
arthropod_girl,节肢动物的女孩
artificial_vagina,人工阴道
artist_logo,艺术家的标志
artist_name,艺术家的名字
artist_self-insert,艺术家self-insert
asa_no_ha_(pattern),Asa no ha（模式）
ascot,骏景
ashford_academy_uniform,阿什福德学院制服
asian,亚洲
asphyxiation,窒息
ass,屁股
ass-to-ass,ass-to-ass
ass_cutout,屁股断路
ass_focus,屁股焦点
ass_grab,屁股抓
ass_shake,屁股摇
ass_support,屁股的支持
ass_visible_through_thighs,透过大腿可以看到臀部
assault_rifle,突击步枪
assertive_female,自信的女性
assisted_exposure,辅助接触
astronaut,宇航员
asymmetrical_bangs,不对称的刘海
asymmetrical_clothes,不对称的衣服
asymmetrical_docking,不对称的对接
asymmetrical_footwear,不对称的鞋子
asymmetrical_gloves,不对称的手套
asymmetrical_hair,不对称的头发
asymmetrical_horns,不对称的角
asymmetrical_legwear,不对称legwear
asymmetrical_sleeves,不对称的袖子
asymmetrical_wings,不对称的翅膀
athletic_leotard,运动紧身连衣裤
attack,攻击
audible_music,可听音乐
audible_speech,可听演讲
audience,观众
aura,光环
aurora,极光
autobot,汽车人
autumn,秋天
autumn_leaves,秋天的落叶
aviator_sunglasses,飞行员太阳镜
axe,斧
baby,婴儿
baby_bottle,婴儿奶瓶
babydoll,洋娃娃
back,回来
back-print_panties,back-print内裤
back-seamed_legwear,back-seamed legwear
back-to-back,背靠背的
back_bow,背弓
back_cutout,回断路
back_tattoo,回纹身
backboob,backboob
background_text,背景文本
backless_dress,露背装
backless_leotard,无靠背的紧身连衣裤
backless_outfit,无靠背的衣服
backlighting,背光
backpack,背包
backpack_removed,背包里删除
backwards_hat,向后的帽子
bad_anatomy,坏的解剖学
bad_end,没有好下场
bad_feet,坏的脚
bad_hands,坏的手
bad_perspective,坏的角度
bad_proportions,坏的比例
badge,徽章
bag,袋
bag_charm,包的魅力
bagged_fish,袋装的鱼
baggy_clothes,宽松的衣服
baggy_pants,宽松的裤子
bags_under_eyes,眼袋
baguette,法棍面包
balancing,平衡
balcony,阳台
bald,秃头
ball,球
ball_and_chain_restraint,球链约束
ball_gag,球呕吐
ballerina,芭蕾舞女演员
ballet,芭蕾舞
ballet_slippers,芭蕾舞鞋
balloon,气球
ballpoint_pen_(medium),圆珠笔（中号）
bamboo,竹子
bamboo_broom,竹扫帚
bamboo_forest,竹林
bamboo_steamer,蒸笼
banana,香蕉
band_uniform,乐队制服
bandage_on_face,脸上缠绷带
bandage_over_one_eye,一只眼睛裹着绷带
bandaged_arm,缠着绷带的手臂
bandaged_hand,缠着绷带的手
bandaged_head,包扎头部
bandaged_leg,缠着绷带的腿
bandaged_neck,缠着绷带的脖子
bandages,绷带
bandaid,邦迪牌创可贴
bandaid_on_arm,手臂贴创可贴
bandaid_on_cheek,脸颊贴创可贴
bandaid_on_face,脸上贴创可贴
bandaid_on_forehead,额头贴创可贴
bandaid_on_hand,手上有创可贴
bandaid_on_knee,膝上贴绷带
bandaid_on_leg,腿上缠绷带
bandaid_on_nose,鼻子贴创可贴
bandaid_on_pussy,阴部贴创可贴
bandaids_on_nipples,乳头贴创可贴
bandana,大手帕
bandeau,束发带
bandolier,子弹带
bangle,手镯
bangs,刘海
bangs_pinned_back,刘海别在脑后
banner,横幅
baozi,包子
bar,酒吧
bar_censor,酒吧审查
bar_stool,酒吧凳子
bara,巴拉
barbed_wire,铁丝网
barbell_piercing,杠铃穿刺
barcode,条形码
barcode_tattoo,条形码的纹身
bare_arms,裸露的手臂
bare_back,裸露的背
bare_hips,裸露的臀部
bare_legs,裸露的腿
bare_pectorals,裸露的胸部
bare_shoulders,裸露的肩膀
bare_tree,光秃秃的树
barefoot,光着脚
barefoot_sandals,赤脚凉鞋
barrel,桶
bartender,酒保
baseball,棒球
baseball_bat,棒球棒
baseball_cap,棒球帽
baseball_mitt,棒球手套
baseball_uniform,棒球制服
basket,篮子
basketball,篮球
basketball_uniform,篮球制服
bass_clef,低音谱号
bass_guitar,低音吉他
bat,蝙蝠
bat_ears,蝙蝠的耳朵
bat_hair_ornament,蝙蝠毛饰品
bat_print,蝙蝠打印
bat_wings,蝙蝠的翅膀
bath,浴
bath_stool,浴凳
bath_yukata,浴室夏季和服
bathhouse,澡堂
bathing,洗澡
bathrobe,浴袍
bathroom,浴室
bathtub,浴缸
baton_(instrument),巴(仪器)
battle,战斗
battle_axe,战斗斧头
battle_rifle,战斗步枪
battleship,战舰
bayonet,刺刀
bc_freedom_military_uniform,BC自由军服
bc_freedom_school_uniform,BC自由校服
bdsm,bdsm
beach,海滩
beach_chair,沙滩椅
beach_towel,沙滩毛巾
beach_umbrella,沙滩伞
beachball,皮球
bead_bracelet,珠手镯
bead_necklace,珠项链
beads,珠子
beak,嘴
beam,梁
beam_rifle,梁步枪
beam_saber,光束军刀
beamed_eighth_notes,八音调
beamed_sixteenth_notes,光束十六分音符
bean_bag_chair,豆袋椅
beanie,无檐小便帽
beans,豆子。
bear,熊
bear_costume,熊服装
bear_ears,熊的耳朵
bear_girl,熊的女孩
bear_hair_ornament,熊毛饰品
bear_panties,熊内裤
bear_print,熊打印
bear_tail,熊的尾巴
beard,胡子
beckoning,令人心动的
bed,床上
bed_sheet,床单
bedroom,卧室
bee,蜜蜂
beer,啤酒
beer_can,啤酒罐
beer_mug,啤酒杯
beetle,甲虫
behind-the-head_headphones,后方的耳机
behind_another,背后的另一个
behind_back,后
beige_background,米色背景
beige_jacket,米色外套
beige_shirt,米色的衬衫
beige_skirt,米色的裙子
beige_sweater,米色的毛衣
bell,贝尔
belly,肚子
belly_chain,腹部链
belly_grab,腹部抓住
belt,带
belt_boots,带靴子
belt_buckle,皮带扣
belt_collar,带环
belt_pouch,带袋
beltbra,beltbra
beltskirt,beltskirt
bench,板凳上
bendy_straw,柔韧的稻草
bent_over,弯下腰
bento,盒饭
beret,贝雷帽
beretta_92,伯莱塔92
berry,浆果
berry_(pokemon),浆果(口袋妖怪)
bespectacled,戴眼镜的
bestiality,人兽交
between_breasts,的乳房之间
between_fingers,手指之间
between_legs,两腿之间
between_pectorals,胸肌之间
between_thighs,大腿之间
between_toes,脚趾之间
bib,围嘴
biceps,肱二头肌
bicorne,bicorne
bicycle,自行车
bicycle_basket,自行车篮子里
big_belly,大的肚子
big_hair,长头发
bike_shorts,自行车短裤
bike_shorts_under_shorts,自行车短裤短裤
bike_shorts_under_skirt,自行车短裤裙下
biker_clothes,自行车的衣服
bikesuit,bikesuit
bikini,比基尼
bikini_armor,比基尼护甲
bikini_aside,除了比基尼
bikini_bottom,比基尼底部
bikini_bottom_removed,比基尼下摆被移除
bikini_lift,比基尼电梯
bikini_pull,比基尼拉
bikini_shorts,比基尼的短裤
